pop,state,county
54987,23,9
593490,24,510
255441,24,25
909327,24,33
104628,13,313
69922,13,285
8359,13,197
20247,13,321
10654,13,109
64296,13,103
22646,13,107
289430,13,51
10423,13,173
21863,13,205
8120,13,289
6195,13,263
44451,13,275
9172,13,209
6778,13,243
52276,24,47
207641,23,31
30199,23,7
50484,23,25
25616,24,39
37181,24,41
70416,24,1
325690,24,27
5218,38,73
4230,38,85
1761,38,33
2189,38,95
2264,38,23
3898,38,81
22907,39,105
38885,39,21
168937,39,57
59463,39,87
14508,39,115
21772,39,175
74266,39,43
5311,40,7
13279,40,63
120749,40,31
22194,40,1
43143,40,137
48111,40,19
16231,51,25
11710,51,131
22573,51,163
3981,51,720
22425,53,39
75061,53,27
4488,53,69
97733,53,25
822083,53,61
12573,54,89
34662,54,25
26868,54,57
15907,54,41
8247,54,75
28695,54,83
5821,54,105
8508,54,15
105612,54,61
15065,54,103
178124,54,39
33432,54,77
9554,54,85
20409,54,43
13957,54,7
21457,54,5
20394,54,109
45368,55,33
51439,55,43
115340,55,117
4556,55,78
13031,55,11
118016,55,63
135692,55,73
29649,55,121
87839,55,27
22195,55,125
78981,55,71
15414,55,13
27668,55,29
9298,16,9
45739,16,17
845,16,33
4315,16,37
27511,16,39
13099,16,43
39907,16,65
12882,16,79
16667,16,49
12142,16,81
7681,16,77
10194,16,87
17708,17,67
262966,17,119
51054,17,63
109862,17,91
15437,17,131
922921,17,43
194672,17,167
5761,17,3
31782,17,157
5150233,17,31
50643,17,141
33658,17,137
44498,17,177
13537,17,193
38459,17,203
6646,17,71
307774,17,111
11758,18,9
20257,18,15
23873,18,143
16346,18,45
206341,18,39
10577,18,25
31922,18,55
964582,18,97
25645,19,11
14439,19,23
6960,19,71
6619,19,151
6121,19,173
7044,19,177
7381,19,195
3602,19,3
5496,19,9
11933,19,37
9000,19,51
17258,19,59
151140,19,103
7707,19,135
16854,19,171
34855,19,167
10070,19,69
20165,19,27
42450,19,33
15642,19,67
16846,19,83
8600,19,117
11755,19,119
8886,19,147
11454,19,165
19954,19,87
37185,19,99
15107,19,145
18504,19,157
93206,19,155
17549,19,43
25062,19,17
19620,19,21
9208,19,63
10689,19,77
9558,19,91
33253,19,125
21965,19,183
29927,13,305
44890,13,9
128331,13,59
4006,13,101
29792,13,143
28735,13,169
40096,13,213
17137,13,241
6901,13,283
8165,13,3
11164,13,5
1611699,25,17
466372,25,13
70180,25,11
160830,25,15
150500,26,115
45605,26,59
26467,26,127
87607,26,87
2116,26,83
291830,26,139
28405,26,7
18038,26,79
20997,26,129
14029,26,39
40711,26,57
292406,26,65
22780,26,109
60964,26,149
367601,26,161
51787,26,27
17766,26,19
1749343,26,163
158510,26,75
405813,26,49
68122,26,155
26143,26,29
13975,26,53
23222,27,93
14119,27,113
6207,27,167
64222,27,27
21067,27,45
31364,27,119
15165,27,135
10897,27,165
4991,27,11
29779,27,21
46340,27,49
9846,27,63
21629,27,105
97238,27,141
105089,27,19
45130,27,61
-9999,27,123
50484,27,169
20934,27,39
9126,27,117
138377,27,171
73447,42,111
10309,29,173
11402,30,17
1682,30,75
11004,30,85
2337,30,51
10803,30,83
4736,30,101
1690,30,19
2007,30,45
9140,30,23
1664,30,55
8937,30,87
8613,30,21
6237,30,7
3954,30,71
465,31,9
1794,31,49
748,31,113
5003,31,169
31363,31,1
5192,31,11
1357,31,149
3001,31,163
6445,31,93
1990,31,73
187196,31,153
1919,31,15
5462,31,59
682,31,91
17284,31,159
3487,31,181
-9999,31,23
463,31,5
21513,31,67
6495,31,99
35099,31,119
9034,31,137
9385,31,179
8332,31,107
7755,31,121
2613,31,133
783,31,183
5532,32,15
873,32,9
4505,32,21
24443,55,137
103403,55,39
7287,55,91
17252,55,103
16665,55,65
42754,55,93
50089,55,15
101883,39,29
42126,39,51
29898,39,53
228683,39,99
75314,39,145
35328,39,117
40882,39,135
102351,39,3
41494,39,33
38875,39,59
41172,39,107
134083,39,23
309833,39,93
531687,39,113
234602,39,165
97241,39,7
43538,40,71
14142,40,35
148306,40,17
10073,40,77
19983,40,139
11096,40,127
11085,40,69
30999,36,95
-9999,36,35
158714,36,83
50022,36,33
2253858,36,81
61204,36,115
1628706,36,61
171517,17,113
20916,17,145
15561,17,149
141879,17,161
259686,17,163
11520,17,185
4739,17,13
10766,17,35
21235,17,85
532403,17,89
15678,17,101
6578,17,9
11438,17,123
27114,17,75
32304,17,21
4828,17,59
56750,17,77
179179,17,143
16653,17,181
16344,17,147
6768,17,169
5342,17,175
16426,17,5
53544,17,7
14305,17,15
50621,17,29
21773,17,83
15638,17,39
21336,17,51
28618,17,107
44926,17,117
23491,17,165
28414,17,135
55175,17,195
152940,6,31
-9999,6,63
283111,6,79
999101,6,19
900202,6,29
3175692,6,59
846006,6,111
45905,6,9
96971,6,101
766573,6,81
54478,6,109
762148,6,77
39752,6,5
4265,8,95
14029,8,7
727211,8,31
1406,8,61
6897,8,55
3581,8,9
20356,8,15
6243,8,47
60061,8,45
582881,8,59
769,8,79
6324,8,103
2248,8,115
8205,8,21
5068,8,27
517421,8,1
55127,8,37
8127,8,65
13283,8,81
17767,8,97
1831,8,17
5577,8,11
2055,8,33
1392,8,57
356899,8,69
26183,8,83
8179,8,113
7831,16,15
7155,16,29
87808,16,5
46811,16,11
229849,16,27
40108,16,57
23951,16,75
12196,17,129
108669,17,99
104009,17,115
16215,17,191
38469,17,55
29682,17,109
14501,17,139
4177,17,151
21634,17,173
209689,17,19
12961,17,53
128990,17,93
37205,17,121
13359,17,125
13184,17,25
34637,17,133
282572,17,201
5335,17,153
17161,17,45
32628,17,11
18667,17,33
5739,17,155
34096,17,103
15513,17,159
13887,17,189
13772,17,127
12147,17,17
40515,18,61
30996,18,169
20436,18,75
5972,27,51
9336,27,89
262440,27,163
16337,27,65
24936,13,35
119992,13,45
22372,13,81
148509,13,77
16116,13,83
15457,13,27
57963,13,129
114421,13,113
111744,13,217
18324,13,133
26108,13,85
204441,13,139
167417,15,9
86,15,5
18112,16,45
11392,16,85
40408,16,69
3838,16,61
86878,16,83
30798,13,311
27546,13,225
168667,13,223
19465,13,229
18962,13,231
202518,13,245
13966,13,251
25286,13,267
19397,13,19
69761,13,295
936250,13,135
83240,13,13
13392,13,49
6618,13,65
107738,13,15
146343,13,97
24633,13,131
15115,13,161
8457,13,141
6189,13,37
12947,13,193
153159,13,21
35236,13,145
5257,13,249
12873,13,23
13390,13,93
23349,13,119
2607,13,307
19077,13,171
2971,13,125
2299,13,239
14219,13,159
9643,13,167
61435,13,179
29880,13,195
8090,13,253
40644,13,277
42613,13,233
8020,13,269
8531,13,273
26830,13,279
8954,13,319
15259,13,221
90896,13,247
35734,13,299
7855,13,309
8635,13,315
19234,13,11
79608,13,31
2834,13,61
85292,13,127
5183,32,17
17076,29,143
362294,48,355
12514,48,379
3452,48,385
1291,48,431
5926,48,65
19717,48,161
3933,48,197
1546,48,45
88219,48,291
169,48,301
17074,48,395
54406,48,401
14651,48,455
23112,48,19
7306,48,75
156209,48,91
22968,48,225
50113,48,349
16703,48,415
1350,48,433
88723,48,21
32565,48,25
4797,48,103
58191,50,21
28892,50,17
55062,50,27
636235,49,49
19938,49,13
35734,49,47
355481,49,11
10012,49,15
5051,49,17
37109,51,93
7967,51,620
7446,51,678
50557,51,89
17148,51,101
37591,51,109
22802,51,147
81948,51,165
6422,51,181
14619,51,43
30587,51,117
75558,51,15
23753,51,75
13261,51,113
36885,36,31
76576,36,11
325789,36,87
209281,36,63
1356924,36,59
17807,36,97
47207,36,17
109834,36,45
1476601,36,103
39859,36,121
117124,36,75
89918,36,117
190488,36,7
918702,36,29
75432,36,105
384940,36,71
62317,37,87
57826,1,9
326196,8,13
26729,8,39
10019,8,125
5701,8,73
31011,8,117
9700,8,19
31162,8,29
168424,8,101
42758,8,85
18845,8,93
154210,8,77
12172,8,99
720403,8,41
4908,8,121
656590,8,5
18278,8,89
558753,10,3
234225,10,5
705749,11,1
180333,9,5
891720,9,3
265206,9,11
70461,21,47
101511,21,59
26427,21,85
45210,21,101
16126,21,103
44686,21,107
13329,21,109
60813,21,125
31100,21,157
28572,21,163
28157,21,173
7269,21,181
66799,21,185
10901,21,187
16695,21,203
57004,21,209
132896,21,227
21315,21,3
19788,21,17
46718,21,19
81676,21,29
323152,21,67
5969,21,75
14806,21,119
13309,21,175
30622,21,177
64979,21,199
7157,21,237
19202,21,1
26032,21,13
6614,21,57
170389,18,127
20277,18,147
195732,18,157
338011,18,57
39614,18,87
67843,18,11
38338,18,107
118302,18,19
26225,18,21
22758,18,47
44231,18,71
20799,18,119
24665,18,135
15092,18,13
7054,18,161
33351,18,27
36594,18,83
19169,18,123
12353,18,131
8265,18,171
23629,1,133
83768,1,43
51626,1,71
16326,1,129
-9999,1,103
44428,1,21
49172,1,45
71513,1,49
22722,1,111
413210,1,97
14910,1,29
24686,1,5
10101,1,11
23622,1,25
96774,1,95
148431,18,105
22995,18,149
37689,18,17
65884,18,177
97311,19,61
14773,19,79
12241,19,175
4894,19,159
7152,19,1
9395,19,39
6860,19,93
10246,19,107
34969,19,179
9668,19,25
18627,19,31
8888,19,73
11035,19,115
10354,19,189
12426,19,7
16184,19,95
19991,19,191
39369,19,127
26234,19,15
9158,19,89
10630,19,81
1257584,26,125
9108,26,3
173566,26,121
21761,26,89
30950,26,35
41170,26,151
69872,26,73
5720,26,131
52245,26,157
10405,26,1
64697,26,67
83156,26,111
153401,26,21
8241,26,135
33631,26,165
79595,26,37
25239,26,43
30981,26,63
759297,13,89
72977,13,157
15362,13,163
7921,13,181
195769,13,215
11137,13,235
6621,13,259
12037,13,281
7985,13,287
9416,13,155
18386,13,1
19109,13,25
579234,24,3
827370,24,5
259547,24,21
92525,24,9
29014,24,23
19422,24,29
1050688,24,31
168447,24,13
50381,24,35
113510,24,37
163257,24,17
31929,24,19
151049,24,43
103609,24,45
102855,24,15
33406,24,11
803907,25,25
212990,25,1
17332,25,7
124944,25,3
565217,25,5
521202,25,23
789034,25,9
706775,25,21
830622,25,27
11399,25,19
37349,26,33
118081,26,5
5712,40,55
19596,40,91
14073,40,99
31127,40,115
81289,40,145
28762,40,15
67997,40,101
47995,40,13
220944,41,29
7199,41,23
418187,41,5
27036,41,57
87487,41,33
77950,41,59
52354,41,9
26682,41,65
382067,41,39
-9999,41,67
40224,41,7
3781,46,85
4351,46,39
5297,46,15
4185,46,53
193134,46,99
3736,46,25
4939,46,77
14070,46,27
5892,46,41
17526,46,65
2344,46,111
3191,46,59
22814,46,135
18453,46,5
19775,46,35
2013,46,73
3098,46,117
2153,46,107
9292,46,23
4935,46,91
2865,46,105
10177,46,121
14177,46,102
191283,47,165
11284,47,169
7615,47,27
937166,47,157
169561,55,59
8445,56,19
99500,56,21
23464,56,39
17370,51,570
17205,1,67
372909,1,89
55869,1,1
40367,1,123
26271,1,61
10373,1,131
5634,2,16
836,2,60
12998,2,150
7621,2,188
18386,2,50
9832,2,185
8493,2,220
96849,2,90
13901,2,130
108317,2,170
10004,2,180
4916,2,70
2530,2,100
579,2,282
1592,2,164
6893,2,240
288000,2,20
3337,2,13
9202,2,261
2148,2,105
1183,2,230
2502,2,275
3266,2,195
1047279,4,19
4485414,4,13
38837,4,9
46498,4,23
21108,4,12
212181,4,15
143476,4,5
213787,4,27
9498,4,11
462789,4,21
8252,5,99
16419,5,37
18219,5,43
23457,5,27
122437,5,125
16545,5,141
13629,5,65
37825,5,63
21466,5,83
47955,5,35
17715,5,47
10718,5,109
66824,5,69
8986,5,97
10281,5,127
127827,5,131
279141,5,7
10118,5,17
26578,5,71
19035,21,99
7403,21,129
8471,21,223
12150,21,61
4380,21,105
8303,21,23
46233,21,179
13275,21,135
19273,21,155
26734,21,239
133581,21,15
54115,21,113
15317,21,127
21553,21,133
65418,21,145
57876,21,195
36264,21,235
-9999,21,5
35589,21,71
50991,21,73
17231,21,147
12161,21,153
10071,21,169
24460,21,205
18572,21,213
36263,21,49
4760,21,39
10631,21,41
14106,21,65
8869,21,77
53431,22,99
47429,22,115
16338,19,121
31974,2,110
5230,2,290
2097,2,68
58708,2,122
6203,2,198
8314,2,158
54018,4,7
125922,4,3
71887,4,1
235099,4,25
110924,4,17
14551,5,21
7009,5,39
17958,5,121
37432,5,9
13024,5,79
18265,5,53
126007,5,45
16694,5,89
7881,5,129
63257,5,33
33771,5,59
16576,5,87
33657,19,111
9917,19,137
22095,19,123
16016,19,41
7870,19,53
6441,19,185
226706,19,113
13753,19,141
7777,20,193
31829,20,125
2530,20,153
1994,20,25
31670,20,61
6856,20,167
6414,20,145
2657,20,23
2530,20,49
34429,20,79
3838,20,93
4156,20,185
1232,20,71
28553,20,51
19618,20,99
21428,20,175
602401,20,91
2521,20,179
1518,20,199
17782,5,107
17007,5,133
-9999,5,19
6701,5,95
-9999,5,103
17486,5,1
28380,5,15
391911,5,119
64386,6,33
98451,26,91
29144,26,105
63888,26,117
15118,26,113
159128,26,147
75677,26,159
14883,26,11
61550,26,15
11066,26,71
24019,26,143
8094,26,153
43517,26,23
93088,26,55
10799,26,97
23324,26,9
35684,26,61
471519,32,31
55916,32,510
151391,33,13
61303,33,1
130633,33,17
618795,34,25
140488,34,37
798975,34,13
291636,34,15
501826,34,31
932202,34,3
105267,34,41
6280,51,21
33419,51,23
16762,51,520
14954,51,830
29791,51,35
53740,51,191
23902,51,139
159428,51,510
134510,51,650
236842,51,13
21004,51,27
152882,51,179
230436,51,760
10953,51,57
40595,51,185
17478,51,685
11159,51,183
41085,51,683
25301,51,775
11880,51,37
11336,51,81
290536,53,67
3985,53,13
28859,48,407
41753,48,459
55246,48,473
51070,48,493
23021,48,219
176832,48,329
21795,48,299
35514,48,147
229211,48,41
21492,48,165
21886,48,179
8935,48,237
18685,48,35
2003554,48,29
3509,48,23
887207,48,121
342139,48,167
854,48,393
26741,48,463
65435,17,1
37562,17,27
104897,17,37
6395,17,47
9610,17,79
37684,17,81
75758,17,183
690743,17,197
66597,17,199
15441,17,23
19465,17,41
34008,17,49
34340,17,57
12969,17,61
8116,17,65
3821,17,69
48913,17,73
12417,17,87
-9999,17,95
696535,17,97
35648,17,105
4951,17,171
131803,17,179
16844,17,187
36520,18,69
12562,19,197
8857,5,77
11361,5,41
12477,5,49
12836,19,29
11235,19,35
16820,19,47
38967,19,57
19650,19,65
14049,19,85
14813,19,109
15109,19,129
8615,19,133
42664,19,139
5958,19,143
490161,19,153
35904,19,187
97117,19,169
103107,19,193
131228,19,13
12232,19,75
19439,19,97
20681,19,105
10586,19,131
51466,19,181
9721,19,161
25177,19,149
21175,19,19
46429,19,45
17011,19,55
18295,19,101
13687,19,5
172943,19,163
93453,19,49
5917,20,181
2006,20,187
4033,20,119
5620,20,127
9164,20,151
4920,20,163
7858,20,3
6102,20,53
5436,20,77
33619,20,57
33195,20,111
9707,20,117
12369,20,1
1700,20,33
34908,20,35
2636,20,63
25544,20,59
1794,20,83
2879,20,89
9537,20,159
28542,20,113
15949,20,139
8179,20,31
38818,20,37
5982,20,73
9703,20,107
516042,20,173
12285,6,105
2470546,6,65
2180085,6,71
258826,6,41
43539,6,93
180080,6,89
27812,6,15
21547,6,11
219186,6,7
5485,20,189
3583,20,183
7150,20,67
13171,20,85
7152,20,95
2794,20,109
10231,20,131
24383,20,149
165429,20,209
19939,20,21
66911,20,15
8002,20,27
2962,20,105
54224,20,169
-9999,20,191
2803,20,195
6931,20,197
8525,20,205
3138,20,207
5979,20,123
3421,20,141
14534,20,11
36467,20,55
2475,20,97
81758,20,103
5406,20,201
3250,20,19
2587,20,129
61998,20,155
25779,20,9
7600,20,43
-9999,20,81
1535,20,101
4823,20,171
11884,20,115
9564,20,13
5704,20,143
74232,20,161
2827,20,39
18466,20,41
17666,21,79
35098,21,89
93584,21,37
7517,21,63
25069,21,81
14398,21,123
27102,21,141
21933,21,167
14590,21,191
17923,21,207
12095,21,229
8841,6,49
18039,6,27
446499,6,83
181215,6,25
1671329,6,1
192843,6,17
881549,6,75
466195,6,107
99755,6,57
86749,6,45
10039107,6,37
1927852,6,85
398329,6,61
447643,6,95
28393,6,21
2750,20,135
16073,20,5
2539,20,75
176875,20,177
2119,20,203
5361,20,137
8786,20,29
2798,20,47
3036,20,165
16007,20,133
5234,20,147
4427,20,7
19043,20,87
14581,21,69
26797,21,43
766757,21,111
17070,21,161
2108,21,201
19351,21,215
7888,21,7
10941,21,87
11195,21,159
24549,21,137
23994,21,183
12942,21,233
16159,21,45
7097,8,63
17462,8,51
4952,8,91
324492,8,123
3887,8,23
351154,8,35
56221,8,67
11267,8,105
6061,8,25
728,8,111
22409,8,75
25388,8,119
14506,8,71
25638,8,107
-9999,8,3
47839,8,43
29068,8,87
6824,8,109
61643,48,221
445349,34,5
23709,35,29
32723,35,55
11941,35,7
625,35,21
8253,35,37
10417,28,103
28321,28,137
34192,28,107
12108,28,161
28065,28,29
231840,28,49
28815,28,145
22015,28,139
74897,28,35
54019,28,71
58595,28,87
8630,28,157
11128,28,65
28124,28,123
29690,28,163
30628,28,11
39288,28,113
18336,28,131
9742,28,69
25110,28,133
30693,28,1
184945,28,33
566747,42,45
382295,37,67
32722,37,17
69473,37,31
18947,37,15
22440,37,117
94186,51,161
93245,48,37
762,48,263
9128,48,425
57602,48,199
17404,48,289
13595,48,351
15976,48,389
1273954,48,453
2920,48,87
